price,mean_commute_time,median_home_value,percent_bachelors_or_higher,percent_below_poverty,percent_highschool_or_higher,percent_no_health_insurance,rating,review_count,unemployment_rate,median_household_income,population,density,income_category,price_weight,price_weight_contr,price_weight_contrv2,zip_code,high_price,4_star,zip_code.1,inc_cat2,inc_cat3
3.0,29.4,325700.0,39.3,5.0,91.6,4.8,4.0,12.0,4.8,65671.0,39776.0,712.4,2.0,144.0,0.3620273531777957,3.016894609814964,1752,1,0,1752,3,2
2.0,32.6,497000.0,67.6,4.6,96.8,1.4,4.5,55.0,3.9,300000.0,35763.0,854.3,3.0,495.0,1.384112071134972,2.5165674020635853,1760,0,0,1760,4,2
1.76,26.400000000000052,394900.0,42.300000000000075,7.79999999999999,94.5,2.400000000000004,3.485,112.54,4.899999999999992,300000.0,40350.0,1186.199999999998,3.0,733.57,1.8180173482032225,1.5254027261462209,1801,6,0,1801,4,2
1.9705882352941175,29.200000000000014,465900.0,53.59999999999997,4.400000000000002,95.19999999999996,2.1,3.4264705882352944,115.94117647058823,4.900000000000003,300000.0,27059.0,807.2999999999997,3.0,998.5,3.690084629882848,2.5380269259113524,1803,4,1,1803,4,2
3.0,25.0,254000.0,26.7,17.6,80.2,5.5,4.0,8.0,8.4,43206.0,34939.0,2603.1,1.0,96.0,0.2747645897135007,3.4345573714187587,1852,1,0,1852,2,1
1.5714285714285714,32.5,491200.0,61.2,4.6000000000000005,97.0,1.2,3.5,111.28571428571428,3.7,36251.0,25048.0,929.1,0.0,540.9285714285714,2.1595679153168774,2.2528174476433818,1867,0,0,1867,1,1
2.0,30.8,448000.0,50.9,7.2,93.5,2.0,2.0,42.0,4.6,85018.0,26648.0,1381.6,2.0,168.0,0.6304413089162414,1.5010507355148603,1880,0,0,1880,3,2
3.0,31.3,485600.0,69.1,5.3,97.5,1.2,4.0,10.0,3.2,300000.0,24194.0,280.2,3.0,120.0,0.4959907415061585,4.9599074150615845,1886,1,0,1886,4,2
1.7777777777777777,33.0,842300.0,75.5,4.400000000000002,97.8,1.0,3.796296296296296,83.14814814814815,2.9,300000.0,22677.0,1368.5,3.0,589.2037037037038,2.598243611164192,3.013332157398833,1890,2,0,1890,4,2
2.0,29.9,361600.0,26.5,9.0,90.6,2.9,4.5,56.0,7.4,300000.0,28165.0,953.3,3.0,504.0,1.7894549973371203,3.1954553523877154,1906,0,0,1906,4,2
2.0,34.0,593300.0,52.8,2.4,96.0,0.5,4.5,40.0,7.5,133318.0,13484.0,443.4,3.0,360.0,2.6698309107089884,6.674577276772472,1940,0,0,1940,4,2
3.0,34.1,566700.0,58.6,0.7,97.3,0.9,3.5,16.0,3.4,300000.0,6551.0,197.4,3.0,168.0,2.5644939703862004,16.02808731491375,1983,1,0,1983,4,2
2.0,34.2,288900.0,30.6,9.5,94.0,3.0,4.0,17.0,5.5,300000.0,17016.0,343.8,3.0,136.0,0.7992477668077104,4.701457451810061,2019,0,0,2019,4,2
2.0,35.4,386800.0,55.4,3.6,97.4,1.5,5.0,4.0,6.1,300000.0,23761.0,445.3,3.0,40.0,0.16834308320356886,4.2085770800892215,2048,0,0,2048,4,2
2.0,35.4,421100.0,49.0,11.4,96.7,1.6,3.0,21.0,5.7,82284.0,11734.0,194.9,2.0,126.0,1.0738026248508608,5.113345832623147,2093,0,0,2093,3,2
1.945945945945946,22.5,694200.0,54.0,37.59999999999999,75.19999999999997,3.4000000000000017,3.6756756756756763,727.7567567567568,9.5,22279.0,7926.0,10543.799999999994,0.0,5128.094594594595,64.69965423409782,9.053337970824726,2111,4,1,2111,1,1
2.1,25.100000000000016,548900.0,77.30000000000005,18.0,95.0,1.399999999999999,3.975,1155.05,1.399999999999999,76533.0,7531.0,26621.099999999984,2.0,9142.5875,121.39938255211794,10.987916611339788,2113,11,0,2113,3,2
2.1111111111111107,22.199999999999992,660900.0,64.1,35.3,88.0,3.9,3.638888888888889,719.8888888888888,12.400000000000004,35094.0,29108.0,15513.0,0.0,5493.416666666667,18.8725321790115,2.672041286855084,2115,3,1,2115,1,1
2.333333333333333,23.299999999999965,992100.0,76.5,13.799999999999981,92.69999999999986,2.5,3.801282051282051,782.5641025641024,4.899999999999996,89206.0,23118.0,12631.599999999982,2.0,6924.0641025641025,29.950965059971036,3.8487048609031516,2116,24,4,2116,3,2
2.2413793103448274,26.70000000000001,710700.0,58.29999999999997,39.1,85.19999999999997,2.700000000000001,3.9655172413793114,736.3793103448276,6.5,83241.0,27830.0,9331.299999999996,2.0,6713.844827586207,24.124487343105315,3.1905534835887845,2118,9,0,2118,3,2
2.0,26.9,413600.0,41.1,40.4,84.7,2.7,4.0,478.5,14.9,51344.0,14928.0,9444.0,1.0,3893.5,26.081859592711684,5.359056806002144,2120,0,0,2120,2,1
2.0,31.1,398800.0,25.2,22.3,79.2,5.0,4.0,282.0,10.3,46516.0,25059.0,4454.7,1.0,2256.0,9.002753501735901,3.1924657807574124,2122,0,0,2122,2,1
2.0,30.4,375800.0,34.6,21.1,81.0,5.9,3.5,474.0,9.2,65038.0,34358.0,6028.8,2.0,3318.0,9.657139530822516,2.0373712090342857,2125,0,0,2125,3,2
2.0,27.7,533200.0,61.8,24.4,90.9,2.4,3.875,458.25,4.8,21499.0,36898.0,6068.800000000001,0.0,3728.75,10.105561277033988,2.10038484470703,2127,1,0,2127,1,1
1.8571428571428568,32.300000000000004,355800.0,22.800000000000004,19.3,68.60000000000001,7.899999999999999,4.0,552.7142857142857,6.5,47936.0,46927.0,3224.2000000000007,1.0,4271.142857142857,9.101674637506887,1.5525634039495997,2128,0,0,2128,2,1
2.5,29.7,622200.0,63.5,18.3,90.1,1.0,3.75,554.5,3.9,55375.0,19414.0,4697.9,2.0,5236.0,26.970227670753058,4.764602863912638,2129,1,0,2129,2,1
2.0,31.300000000000008,486400.0,65.0,16.099999999999998,92.20000000000003,2.7,3.9090909090909087,586.0909090909091,4.700000000000001,47350.0,40377.0,4099.5999999999985,1.0,4332.0,10.728880303142882,1.9250383319036264,2130,2,0,2130,2,1
2.0,34.0,414900.0,43.2,10.9,90.5,3.4,5.0,71.0,5.1,72192.0,33771.0,4451.7,2.0,710.0,2.1023955464747863,2.9611204879926567,2131,0,0,2131,3,2
